"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 09:30:27 GMT 2024","Thu Jun 27 09:30:31 GMT 2024","4665","SignUpSuite","SignUpSteps","CRMTestng.steps.SignUpSteps","CRMTestng.steps.SignUpSteps","user_fill_the_email_and_click_on_accept_terms_select_captcha_and_click_on_signup_button","User fill the email and click on accept terms & select captcha and click on signup Button",""
"unknown","Thu Jun 27 09:30:23 GMT 2024","Thu Jun 27 09:30:23 GMT 2024","2","SignUpSuite","SignUpSteps","CRMTestng.steps.SignUpSteps","CRMTestng.steps.SignUpSteps","user_account_should_be_created","User account should be created",""
