"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 09:27:43 GMT 2024","Thu Jun 27 09:27:49 GMT 2024","5840","SignUpSuite","SignUpSteps","CRMTestng.steps.SignUpSteps","CRMTestng.steps.SignUpSteps","user_fill_the_email_and_click_on_accept_terms_select_captcha_and_click_on_signup_button","User fill the email and click on accept terms & select captcha and click on signup Button",""
"unknown","Thu Jun 27 09:27:33 GMT 2024","Thu Jun 27 09:27:33 GMT 2024","1","SignUpSuite","SignUpSteps","CRMTestng.steps.SignUpSteps","CRMTestng.steps.SignUpSteps","user_account_should_be_created","User account should be created",""
